n_block,data_size,seed,model,loss,symmetry_error,n_params
5,10000,4,vanilla,0.42886412143707275,0.24087543785572052,7801
5,10000,4,shared,0.2286882996559143,8.343596646920304e-12,651
5,10000,4,vanilla_aug,0.25744783878326416,0.14718714356422424,7801
5,10000,4,shared_aug,0.6214601993560791,3.5127348078922704e-12,651
10,50,0,vanilla,8.959388732910156,12.02876091003418,30801
10,50,0,shared,3.299177646636963,2.6830089799173562e-12,651
10,50,0,vanilla_aug,10.87307071685791,4.5127153396606445,30801
10,50,0,shared_aug,2.64390230178833,6.77573448737423e-13,651
10,50,1,vanilla,20.284265518188477,15.959467887878418,30801
10,50,1,shared,4.8114519119262695,4.26609832529512e-12,651
10,50,1,vanilla_aug,12.360058784484863,2.131713628768921,30801
10,50,1,shared_aug,4.712114334106445,4.162074764696433e-12,651
10,50,2,vanilla,16.236522674560547,9.234211921691895,30801
10,50,2,shared,4.114780426025391,1.2437338485493665e-12,651
10,50,2,vanilla_aug,10.358373641967773,4.17966365814209,30801
10,50,2,shared_aug,264.031005859375,5.473398791424017e-16,651
10,50,3,vanilla,13.734579086303711,9.98431396484375,30801
10,50,3,shared,3.3809654712677,9.238228237951063e-12,651
10,50,3,vanilla_aug,10.021268844604492,3.7417938709259033,30801
10,50,3,shared_aug,2.0981404781341553,4.780015792904546e-12,651
10,50,4,vanilla,36.02452850341797,9.774713516235352,30801
10,50,4,shared,2.334510087966919,1.0345500497943583e-11,651
10,50,4,vanilla_aug,26.827594757080078,5.0986480712890625,30801
10,50,4,shared_aug,6.2242889404296875,9.815720285188956e-12,651
10,100,0,vanilla,11.613787651062012,7.4347333908081055,30801
10,100,0,shared,338.00244140625,6.5786258039680304e-15,651
10,100,0,vanilla_aug,3.568974256515503,2.711371898651123,30801
10,100,0,shared_aug,0.861716091632843,1.1769016317053627e-11,651
10,100,1,vanilla,7.409642696380615,5.0131144523620605,30801
10,100,1,shared,0.5649157762527466,4.2041387732227875e-12,651
10,100,1,vanilla_aug,9.856181144714355,3.6119041442871094,30801
10,100,1,shared_aug,1.0682165622711182,6.003800755161048e-12,651
10,100,2,vanilla,32.548912048339844,14.232747077941895,30801
10,100,2,shared,1.8348701000213623,2.408597410061275e-12,651
10,100,2,vanilla_aug,18.027542114257812,3.2479751110076904,30801
10,100,2,shared_aug,263.56414794921875,1.2281884561563157e-15,651
10,100,3,vanilla,16.013164520263672,9.029701232910156,30801
10,100,3,shared,5.903916835784912,7.800052270745539e-12,651
10,100,3,vanilla_aug,14.848340034484863,2.583305835723877,30801
10,100,3,shared_aug,9.938299179077148,3.695958903510155e-12,651
10,100,4,vanilla,16.342227935791016,12.485757827758789,30801
10,100,4,shared,19.19709014892578,6.207300732447019e-12,651
10,100,4,vanilla_aug,5.44738245010376,2.6846890449523926,30801
10,100,4,shared_aug,11.570023536682129,1.3733369910035043e-12,651
10,500,0,vanilla,7.634624004364014,6.1760640144348145,30801
10,500,0,shared,1.7855966091156006,2.0615497156595275e-12,651
10,500,0,vanilla_aug,7.537519454956055,4.306410312652588,30801
10,500,0,shared_aug,2.263444423675537,3.8609653668642e-12,651
10,500,1,vanilla,10.259123802185059,6.1734137535095215,30801
10,500,1,shared,0.9821105003356934,6.577162425802641e-12,651
10,500,1,vanilla_aug,7.649718761444092,2.6342508792877197,30801
10,500,1,shared_aug,0.8455324769020081,1.0650107531984254e-11,651
10,500,2,vanilla,9.689022064208984,8.771129608154297,30801
10,500,2,shared,0.5227336287498474,4.969248970643214e-12,651
10,500,2,vanilla_aug,4.294488906860352,2.066215753555298,30801
10,500,2,shared_aug,1.1821072101593018,2.4090594970271884e-12,651
10,500,3,vanilla,7.597845554351807,5.025712013244629,30801
10,500,3,shared,0.3898636996746063,7.714650966661463e-12,651
10,500,3,vanilla_aug,5.172391414642334,2.1175003051757812,30801
10,500,3,shared_aug,0.5182362794876099,1.4632385580970464e-11,651
10,500,4,vanilla,8.913335800170898,7.156259059906006,30801
10,500,4,shared,1.1558935642242432,8.081794782011098e-12,651
10,500,4,vanilla_aug,5.2980122566223145,3.1440834999084473,30801
10,500,4,shared_aug,324.662841796875,5.27074848813403e-15,651
10,1000,0,vanilla,6.544320106506348,3.785036087036133,30801
10,1000,0,shared,1.2359638214111328,2.555228164474732e-12,651
10,1000,0,vanilla_aug,5.0062360763549805,1.8923099040985107,30801
10,1000,0,shared_aug,1.053880214691162,9.52547762889111e-12,651
10,1000,1,vanilla,6.720706939697266,4.951907634735107,30801
10,1000,1,shared,2.420194625854492,5.888867084941074e-12,651
10,1000,1,vanilla_aug,6.833188533782959,2.6235976219177246,30801
10,1000,1,shared_aug,1.2612649202346802,2.675550059283438e-11,651
10,1000,2,vanilla,7.83401346206665,4.482285499572754,30801
10,1000,2,shared,0.5585164427757263,6.2676764819857844e-12,651
